,home,homeresult,awayresult,away,homehalftime,awayhalftime
0,Liverpool,4 , 1,Norwich City,4.0,0.0
1,West Ham Utd,0 , 5,Manchester City,0.0,1.0
2,Bournemouth,1 , 1,Sheffield Utd,0.0,0.0
3,Burnley,3 , 0,Southampton,0.0,0.0
4,Crystal Palace,0 , 0,Everton,,
5,Watford,0 , 3,Brighton,0.0,1.0
6,Tottenham,3 , 1,Aston Villa,0.0,1.0
7,Leicester City,0 , 0,Wolverhampton,,
8,Newcastle Utd,0 , 1,Arsenal,0.0,0.0
9,Manchester Utd,4 , 0,Chelsea,1.0,0.0
10,Arsenal,2 , 1,Burnley,1.0,1.0
11,Aston Villa,1 , 2,Bournemouth,0.0,2.0
12,Brighton,1 , 1,West Ham Utd,0.0,0.0
13,Everton,1 , 0,Watford,1.0,0.0
14,Norwich City,3 , 1,Newcastle Utd,1.0,0.0
15,Southampton,1 , 2,Liverpool,0.0,1.0
16,Manchester City,2 , 2,Tottenham,2.0,1.0
17,Sheffield Utd,1 , 0,Crystal Palace,0.0,0.0
18,Chelsea,1 , 1,Leicester City,1.0,0.0
19,Wolverhampton,1 , 1,Manchester Utd,0.0,1.0
20,Aston Villa,2 , 0,Everton,1.0,0.0
21,Norwich City,2 , 3,Chelsea,2.0,2.0
22,Brighton,0 , 2,Southampton,0.0,0.0
23,Manchester Utd,1 , 2,Crystal Palace,0.0,1.0
24,Sheffield Utd,1 , 2,Leicester City,0.0,1.0
25,Watford,1 , 3,West Ham Utd,1.0,1.0
26,Liverpool,3 , 1,Arsenal,1.0,0.0
27,Bournemouth,1 , 3,Manchester City,1.0,2.0
28,Tottenham,0 , 1,Newcastle Utd,,
29,Wolverhampton,1 , 1,Burnley,0.0,1.0
30,Southampton,1 , 1,Manchester Utd,0.0,1.0
31,Chelsea,2 , 2,Sheffield Utd,2.0,0.0
32,Crystal Palace,1 , 0,Aston Villa,0.0,0.0
33,Leicester City,3 , 1,Bournemouth,2.0,1.0
34,Manchester City,4 , 0,Brighton,2.0,0.0
35,Newcastle Utd,1 , 1,Watford,,
36,West Ham Utd,2 , 0,Norwich City,1.0,0.0
37,Burnley,0 , 3,Liverpool,0.0,2.0
38,Everton,3 , 2,Wolverhampton,2.0,1.0
39,Arsenal,2 , 2,Tottenham,1.0,2.0
40,Liverpool,3 , 1,Newcastle Utd,2.0,1.0
41,Brighton,1 , 1,Burnley,0.0,0.0
42,Manchester Utd,1 , 0,Leicester City,1.0,0.0
43,Sheffield Utd,0 , 1,Southampton,0.0,0.0
44,Tottenham,4 , 0,Crystal Palace,1.0,0.0
45,Wolverhampton,2 , 5,Chelsea,0.0,3.0
46,Norwich City,3 , 2,Manchester City,2.0,1.0
47,Bournemouth,3 , 1,Everton,1.0,1.0
48,Watford,2 , 2,Arsenal,0.0,2.0
49,Aston Villa,0 , 0,West Ham Utd,,
50,Southampton,1 , 3,Bournemouth,0.0,2.0
51,Leicester City,2 , 1,Tottenham,0.0,1.0
52,Burnley,2 , 0,Norwich City,1.0,0.0
53,Everton,0 , 2,Sheffield Utd,0.0,1.0
54,Manchester City,8 , 0,Watford,5.0,0.0
55,Newcastle Utd,0 , 0,Brighton,,
56,Crystal Palace,1 , 1,Wolverhampton,0.0,0.0
57,West Ham Utd,2 , 0,Manchester Utd,1.0,0.0
58,Arsenal,3 , 2,Aston Villa,0.0,1.0
59,Chelsea,1 , 2,Liverpool,0.0,2.0
60,Sheffield Utd,0 , 1,Liverpool,0.0,0.0
61,Aston Villa,2 , 2,Burnley,1.0,0.0
62,Bournemouth,2 , 2,West Ham Utd,1.0,1.0
63,Chelsea,2 , 0,Brighton,0.0,0.0
64,Crystal Palace,2 , 0,Norwich City,1.0,0.0
65,Tottenham,2 , 1,Southampton,1.0,0.0
66,Wolverhampton,2 , 0,Watford,1.0,0.0
67,Everton,1 , 3,Manchester City,1.0,1.0
68,Leicester City,5 , 0,Newcastle Utd,1.0,0.0
69,Manchester Utd,1 , 1,Arsenal,1.0,0.0
70,Brighton,3 , 0,Tottenham,2.0,0.0
71,Burnley,1 , 0,Everton,0.0,0.0
72,Liverpool,2 , 1,Leicester City,1.0,0.0
73,Norwich City,1 , 5,Aston Villa,0.0,2.0
74,Watford,0 , 0,Sheffield Utd,,
75,West Ham Utd,1 , 2,Crystal Palace,0.0,0.0
76,Arsenal,1 , 0,Bournemouth,1.0,0.0
77,Manchester City,0 , 2,Wolverhampton,0.0,0.0
78,Southampton,1 , 4,Chelsea,1.0,3.0
79,Newcastle Utd,1 , 0,Manchester Utd,0.0,0.0
80,Everton,2 , 0,West Ham Utd,1.0,0.0
81,Aston Villa,2 , 1,Brighton,1.0,1.0
82,Bournemouth,0 , 0,Norwich City,,
83,Chelsea,1 , 0,Newcastle Utd,0.0,0.0
84,Leicester City,2 , 1,Burnley,1.0,1.0
85,Tottenham,1 , 1,Watford,0.0,1.0
86,Wolverhampton,1 , 1,Southampton,0.0,0.0
87,Crystal Palace,0 , 2,Manchester City,,
88,Manchester Utd,1 , 1,Liverpool,1.0,0.0
89,Sheffield Utd,1 , 0,Arsenal,1.0,0.0
90,Southampton,0 , 9,Leicester City,0.0,5.0
91,Manchester City,3 , 0,Aston Villa,0.0,0.0
92,Brighton,3 , 2,Everton,1.0,1.0
93,Watford,0 , 0,Bournemouth,,
94,West Ham Utd,1 , 1,Sheffield Utd,1.0,0.0
95,Burnley,2 , 4,Chelsea,0.0,2.0
96,Newcastle Utd,1 , 1,Wolverhampton,1.0,0.0
97,Arsenal,2 , 2,Crystal Palace,2.0,1.0
98,Liverpool,2 , 1,Tottenham,0.0,1.0
99,Norwich City,1 , 3,Manchester Utd,0.0,2.0
100,Bournemouth,1 , 0,Manchester Utd,1.0,0.0
101,Arsenal,1 , 1,Wolverhampton,1.0,0.0
102,Aston Villa,1 , 2,Liverpool,1.0,0.0
103,Brighton,2 , 0,Norwich City,0.0,0.0
104,Manchester City,2 , 1,Southampton,0.0,1.0
105,Sheffield Utd,3 , 0,Burnley,1.0,0.0
106,West Ham Utd,2 , 3,Newcastle Utd,0.0,2.0
107,Watford,1 , 2,Chelsea,0.0,1.0
108,Crystal Palace,0 , 2,Leicester City,0.0,0.0
109,Everton,1 , 1,Tottenham,0.0,0.0
110,Norwich City,0 , 2,Watford,0.0,1.0
111,Chelsea,2 , 0,Crystal Palace,0.0,0.0
112,Burnley,3 , 0,West Ham Utd,2.0,0.0
113,Newcastle Utd,2 , 1,Bournemouth,1.0,1.0
114,Southampton,1 , 2,Everton,0.0,1.0
115,Tottenham,1 , 1,Sheffield Utd,0.0,0.0
116,Leicester City,2 , 0,Arsenal,0.0,0.0
117,Manchester Utd,3 , 1,Brighton,2.0,0.0
118,Wolverhampton,2 , 1,Aston Villa,1.0,0.0
119,Liverpool,3 , 1,Manchester City,2.0,0.0
120,West Ham Utd,2 , 3,Tottenham,0.0,2.0
121,Arsenal,2 , 2,Southampton,1.0,1.0
122,Bournemouth,1 , 2,Wolverhampton,0.0,2.0
123,Brighton,0 , 2,Leicester City,0.0,0.0
124,Crystal Palace,1 , 2,Liverpool,0.0,0.0
125,Everton,0 , 2,Norwich City,0.0,0.0
126,Watford,0 , 3,Burnley,0.0,0.0
127,Manchester City,2 , 1,Chelsea,,
128,Sheffield Utd,3 , 3,Manchester Utd,1.0,0.0
129,Aston Villa,2 , 0,Newcastle Utd,1.0,0.0
130,Newcastle Utd,2 , 2,Manchester City,1.0,1.0
131,Burnley,0 , 2,Crystal Palace,0.0,1.0
132,Chelsea,0 , 1,West Ham Utd,0.0,0.0
133,Liverpool,2 , 1,Brighton,2.0,0.0
134,Tottenham,3 , 2,Bournemouth,1.0,0.0
135,Southampton,2 , 1,Watford,0.0,1.0
136,Norwich City,2 , 2,Arsenal,2.0,1.0
137,Wolverhampton,1 , 1,Sheffield Utd,0.0,1.0
138,Leicester City,2 , 1,Everton,0.0,1.0
139,Manchester Utd,2 , 2,Aston Villa,1.0,1.0
140,Crystal Palace,1 , 0,Bournemouth,0.0,0.0
141,Burnley,1 , 4,Manchester City,0.0,1.0
142,Chelsea,2 , 1,Aston Villa,1.0,1.0
143,Leicester City,2 , 0,Watford,0.0,0.0
144,Manchester Utd,2 , 1,Tottenham,1.0,1.0
145,Southampton,2 , 1,Norwich City,2.0,0.0
146,Wolverhampton,2 , 0,West Ham Utd,1.0,0.0
147,Liverpool,5 , 2,Everton,4.0,2.0
148,Sheffield Utd,0 , 2,Newcastle Utd,0.0,1.0
149,Arsenal,1 , 2,Brighton,0.0,1.0
150,Everton,3 , 1,Chelsea,1.0,0.0
151,Bournemouth,0 , 3,Liverpool,0.0,2.0
152,Tottenham,5 , 0,Burnley,3.0,0.0
153,Watford,0 , 0,Crystal Palace,,
154,Manchester City,1 , 2,Manchester Utd,0.0,2.0
155,Aston Villa,1 , 4,Leicester City,1.0,2.0
156,Newcastle Utd,2 , 1,Southampton,0.0,0.0
157,Norwich City,1 , 2,Sheffield Utd,1.0,0.0
158,Brighton,2 , 2,Wolverhampton,,
159,West Ham Utd,1 , 3,Arsenal,1.0,0.0
160,Liverpool,2 , 0,Watford,1.0,0.0
161,Burnley,1 , 0,Newcastle Utd,0.0,0.0
162,Chelsea,0 , 1,Bournemouth,0.0,0.0
163,Leicester City,1 , 1,Norwich City,,
164,Sheffield Utd,2 , 0,Aston Villa,0.0,0.0
165,Southampton,0 , 1,West Ham Utd,,
166,Manchester Utd,1 , 1,Everton,0.0,1.0
167,Wolverhampton,1 , 2,Tottenham,0.0,1.0
168,Arsenal,0 , 3,Manchester City,,
169,Crystal Palace,1 , 1,Brighton,0.0,0.0
170,Everton,0 , 0,Arsenal,,
171,Aston Villa,1 , 3,Southampton,0.0,2.0
172,Bournemouth,0 , 1,Burnley,0.0,0.0
173,Brighton,0 , 1,Sheffield Utd,,
174,Newcastle Utd,1 , 0,Crystal Palace,0.0,0.0
175,Norwich City,1 , 2,Wolverhampton,1.0,0.0
176,Manchester City,3 , 1,Leicester City,2.0,1.0
177,Watford,2 , 0,Manchester Utd,0.0,0.0
178,Tottenham,0 , 2,Chelsea,,
179,Tottenham,2 , 1,Brighton,0.0,1.0
180,Aston Villa,1 , 0,Norwich City,0.0,0.0
181,Bournemouth,1 , 1,Arsenal,1.0,0.0
182,Chelsea,0 , 2,Southampton,0.0,1.0
183,Crystal Palace,2 , 1,West Ham Utd,0.0,0.0
184,Everton,1 , 0,Burnley,0.0,0.0
185,Sheffield Utd,1 , 1,Watford,,
186,Manchester Utd,4 , 1,Newcastle Utd,3.0,1.0
187,Leicester City,0 , 4,Liverpool,0.0,1.0
188,Wolverhampton,3 , 2,Manchester City,0.0,1.0
189,Brighton,2 , 0,Bournemouth,1.0,0.0
190,Newcastle Utd,1 , 2,Everton,0.0,1.0
191,Southampton,1 , 1,Crystal Palace,0.0,0.0
192,Watford,3 , 0,Aston Villa,1.0,0.0
193,Norwich City,2 , 2,Tottenham,1.0,0.0
194,West Ham Utd,1 , 2,Leicester City,1.0,1.0
195,Burnley,0 , 2,Manchester Utd,0.0,1.0
196,Arsenal,1 , 2,Chelsea,1.0,0.0
197,Liverpool,1 , 0,Wolverhampton,1.0,0.0
198,Manchester City,2 , 0,Sheffield Utd,0.0,0.0
199,Brighton,1 , 1,Chelsea,0.0,1.0
200,Burnley,1 , 2,Aston Villa,0.0,2.0
201,Newcastle Utd,0 , 3,Leicester City,0.0,2.0
202,Southampton,1 , 0,Tottenham,1.0,0.0
203,Watford,2 , 1,Wolverhampton,1.0,0.0
204,Manchester City,2 , 1,Everton,0.0,0.0
205,Norwich City,1 , 1,Crystal Palace,1.0,0.0
206,West Ham Utd,4 , 0,Bournemouth,3.0,0.0
207,Arsenal,2 , 0,Manchester Utd,1.0,0.0
208,Liverpool,2 , 0,Sheffield Utd,1.0,0.0
