,Season,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,2017,Manchester City,Manchester United,Tottenham Hotspur,Liverpool,Chelsea,Arsenal,Burnley,Everton,Leicester City,Newcastle United,Crystal Palace,AFC Bournemouth,West Ham United,Watford,Brighton & Hove Albion,Huddersfield Town,Southampton,Swansea City,Stoke City,West Bromwich Albion,,
1,2016,Chelsea,Tottenham Hotspur,Manchester City,Liverpool,Arsenal,Manchester United,Everton,Southampton,AFC Bournemouth,West Bromwich Albion,West Ham United,Leicester City,Stoke City,Crystal Palace,Swansea City,Burnley,Watford,Hull City,Middlesbrough,Sunderland,,
2,2015,Leicester City,Arsenal,Tottenham Hotspur,Manchester City,Manchester United,Southampton,West Ham United,Liverpool,Stoke City,Chelsea,Everton,Swansea City,Watford,West Bromwich Albion,Crystal Palace,AFC Bournemouth,Sunderland,Newcastle United,Norwich City,Aston Villa,,
3,2014,Chelsea,Manchester City,Arsenal,Manchester United,Tottenham Hotspur,Liverpool,Southampton,Swansea City,Stoke City,Crystal Palace,Everton,West Ham United,West Bromwich Albion,Leicester City,Newcastle United,Sunderland,Aston Villa,Hull City,Burnley,Queens Park Rangers,,
4,2013,Manchester City,Liverpool,Chelsea,Arsenal,Everton,Tottenham Hotspur,Manchester United,Southampton,Stoke City,Newcastle United,Crystal Palace,Swansea City,West Ham United,Sunderland,Aston Villa,Hull City,West Bromwich Albion,Norwich City,Fulham,Cardiff City,,
5,2012,Manchester United,Manchester City,Chelsea,Arsenal,Tottenham Hotspur,Everton,Liverpool,West Bromwich Albion,Swansea City,West Ham United,Norwich City,Fulham,Stoke City,Southampton,Aston Villa,Newcastle United,Sunderland,Wigan Athletic,Reading,Queens Park Rangers,,
6,2011,Manchester City,Manchester United,Arsenal,Tottenham Hotspur,Newcastle United,Chelsea,Everton,Liverpool,Fulham,West Bromwich Albion,Swansea City,Norwich City,Sunderland,Stoke City,Wigan Athletic,Aston Villa,Queens Park Rangers,Bolton Wanderers,Blackburn Rovers,Wolverhampton Wanderers,,
7,2010,Manchester United,Chelsea,Manchester City,Arsenal,Tottenham Hotspur,Liverpool,Everton,Fulham,Aston Villa,Sunderland,West Bromwich Albion,Newcastle United,Stoke City,Bolton Wanderers,Blackburn Rovers,Wigan Athletic,Wolverhampton Wanderers,Birmingham City,Blackpool,West Ham United,,
8,2009,Chelsea,Manchester United,Arsenal,Tottenham Hotspur,Manchester City,Aston Villa,Liverpool,Everton,Birmingham City,Blackburn Rovers,Stoke City,Fulham,Sunderland,Bolton Wanderers,Wolverhampton Wanderers,Wigan Athletic,West Ham United,Burnley,Hull City,Portsmouth,,
9,2008,Manchester United,Liverpool,Chelsea,Arsenal,Everton,Aston Villa,Fulham,Tottenham Hotspur,West Ham United,Manchester City,Wigan Athletic,Stoke City,Bolton Wanderers,Portsmouth,Blackburn Rovers,Sunderland,Hull City,Newcastle United,Middlesbrough,West Bromwich Albion,,
10,2007,Manchester United,Chelsea,Arsenal,Liverpool,Everton,Aston Villa,Blackburn Rovers,Portsmouth,Manchester City,West Ham United,Tottenham Hotspur,Newcastle United,Middlesbrough,Wigan Athletic,Sunderland,Bolton Wanderers,Fulham,Reading,Birmingham City,Derby County,,
11,2006,Manchester United,Chelsea,Liverpool,Arsenal,Tottenham Hotspur,Everton,Bolton Wanderers,Reading,Portsmouth,Blackburn Rovers,Aston Villa,Middlesbrough,Newcastle United,Manchester City,West Ham United,Fulham,Wigan Athletic,Sheffield United,Charlton Athletic,Watford,,
12,2005,Chelsea,Manchester United,Liverpool,Arsenal,Tottenham Hotspur,Blackburn Rovers,Newcastle United,Bolton Wanderers,West Ham United,Wigan Athletic,Everton,Fulham,Charlton Athletic,Middlesbrough,Manchester City,Aston Villa,Portsmouth,Birmingham City,West Bromwich Albion,Sunderland,,
13,2004,Chelsea,Arsenal,Manchester United,Everton,Liverpool,Bolton Wanderers,Middlesbrough,Manchester City,Tottenham Hotspur,Aston Villa,Charlton Athletic,Birmingham City,Fulham,Newcastle United,Blackburn Rovers,Portsmouth,West Bromwich Albion,Crystal Palace,Norwich City,Southampton,,
14,2003,Arsenal,Chelsea,Manchester United,Liverpool,Newcastle United,Aston Villa,Charlton Athletic,Bolton Wanderers,Fulham,Birmingham City,Middlesbrough,Southampton,Portsmouth,Tottenham Hotspur,Blackburn Rovers,Manchester City,Everton,Leicester City,Leeds United,Wolverhampton Wanderers,,
15,2002,Manchester United,Arsenal,Newcastle United,Chelsea,Liverpool,Blackburn Rovers,Everton,Southampton,Manchester City,Tottenham Hotspur,Middlesbrough,Charlton Athletic,Birmingham City,Fulham,Leeds United,Aston Villa,Bolton Wanderers,West Ham United,West Bromwich Albion,Sunderland,,
16,2001,Arsenal,Liverpool,Manchester United,Newcastle United,Leeds United,Chelsea,West Ham United,Aston Villa,Tottenham Hotspur,Blackburn Rovers,Southampton,Middlesbrough,Fulham,Charlton Athletic,Everton,Bolton Wanderers,Sunderland,Ipswich Town,Derby County,Leicester City,,
17,2000,Manchester United,Arsenal,Liverpool,Leeds United,Ipswich Town,Chelsea,Sunderland,Aston Villa,Charlton Athletic,Southampton,Newcastle United,Tottenham Hotspur,Leicester City,Middlesbrough,West Ham United,Everton,Derby County,Manchester City,Coventry City,Bradford City,,
18,1999,Manchester United,Arsenal,Leeds United,Liverpool,Chelsea,Aston Villa,Sunderland,Leicester City,West Ham United,Tottenham Hotspur,Newcastle United,Middlesbrough,Everton,Coventry City,Southampton,Derby County,Bradford City,Wimbledon,Sheffield Wednesday,Watford,,
19,1998,Manchester United,Arsenal,Chelsea,Leeds United,West Ham United,Aston Villa,Liverpool,Derby County,Middlesbrough,Leicester City,Tottenham Hotspur,Sheffield Wednesday,Newcastle United,Everton,Coventry City,Wimbledon,Southampton,Charlton Athletic,Blackburn Rovers,Nottingham Forest,,
20,1997,Arsenal,Manchester United,Liverpool,Chelsea,Leeds United,Blackburn Rovers,Aston Villa,West Ham United,Derby County,Leicester City,Coventry City,Southampton,Newcastle United,Tottenham Hotspur,Wimbledon,Sheffield Wednesday,Everton,Bolton Wanderers,Barnsley,Crystal Palace,,
21,1996,Manchester United,Newcastle United,Arsenal,Liverpool,Aston Villa,Chelsea,Sheffield Wednesday,Wimbledon,Leicester City,Tottenham Hotspur,Leeds United,Derby County,Blackburn Rovers,West Ham United,Everton,Southampton,Coventry City,Sunderland,Middlesbrough,Nottingham Forest,,
22,1995,Manchester United,Newcastle United,Liverpool,Aston Villa,Arsenal,Everton,Blackburn Rovers,Tottenham Hotspur,Nottingham Forest,West Ham United,Chelsea,Middlesbrough,Leeds United,Wimbledon,Sheffield Wednesday,Coventry City,Southampton,Manchester City,Queens Park Rangers,Bolton Wanderers,,
23,1994,Blackburn Rovers,Manchester United,Nottingham Forest,Liverpool,Leeds United,Newcastle United,Tottenham Hotspur,Queens Park Rangers,Wimbledon,Southampton,Chelsea,Arsenal,Sheffield Wednesday,West Ham United,Everton,Coventry City,Manchester City,Aston Villa,Crystal Palace,Norwich City,Leicester City,Ipswich Town
24,1993,Manchester United,Blackburn Rovers,Newcastle United,Arsenal,Leeds United,Wimbledon,Sheffield Wednesday,Liverpool,Queens Park Rangers,Aston Villa,Coventry City,Norwich City,West Ham United,Chelsea,Tottenham Hotspur,Manchester City,Everton,Southampton,Ipswich Town,Sheffield United,Oldham Athletic,Swindon Town
25,1992,Manchester United,Aston Villa,Norwich City,Blackburn Rovers,Queens Park Rangers,Liverpool,Sheffield Wednesday,Tottenham Hotspur,Manchester City,Arsenal,Chelsea,Wimbledon,Everton,Sheffield United,Coventry City,Ipswich Town,Leeds United,Southampton,Oldham Athletic,Crystal Palace,Middlesbrough,Nottingham Forest
